full_date,date,weekday,time,mood,activities,note_title,note
2021-11-30,Nov 30,Tuesday,11:49 PM,Solid,friends | gaming | school | college | biking | chest / core | gym | church | prayer | mountain dew | Sleep 8 hours | Screen Time <= 2 hours,"","Facebook court video | column Saint | library with Sara Sophie Kyle | Ian’s pizza | Theo talk super formal and over my head | Halo | annex with Jon | opening of Joan of Arc | helped usher | spent a little time with Sara and walked her back | starting to really like Sara"
2021-11-29,Nov 29,Monday,10:02 PM,okay,friends | gaming | school | tv show | college | chest / core | gym | prayer | Sleep 9 Hours | Screen Time 3 Hours,"","Sara taking 21 credits a little concerning to me | not caring about Calc makes me feel better | lunch with Gabriella | inspiration for Data Science stuff | tableau video took forever | library with Sophie | frustrated playing Madden"
2021-11-28,Nov 28,Sunday,8:56 PM,okay,friends | gaming | tv show | college | Watched Sports | church | prayer | Sleep 8 hours | Screen Time 4 Hours,"","Subconscious state worst enemy | good mass alone at 10:30 | only dining hall open was Cobeen | football with Cameron then Jude | felt like old times | dinner alone saw Sophie and her friends | met up with friends in hall way"
2021-11-27,Nov 27,Saturday,8:00 PM,okay,family | movie | home | college | > 15 mins on Instagram  | prayer | mountain dew | Sleep 9 Hours | Screen Time 8 Hours,"","Kyla Instagram post feels bad about being fat | tried sending her a nice message | realizing there’s a lot of messed up stuff in the world | traveled for 11 hours | headphones clutch on plane | stars and lights pretty | lots of Taylor Swift especially  “Betty”"
2021-11-26,Nov 26,Friday,10:04 PM,Solid,family | friends | reading | home | Other Sports | prayer | Sleep 9 Hours | Screen Time 5 Hours,"","Pickleball did pretty well | Jimmy John’s with Zach Cameron and Dylan | vc with Jude for a while "
2021-11-25,Nov 25,Thursday,8:19 PM,Solid,family | home | Watched Sports | prayer | mountain dew | Sleep 10+ Hours | Screen Time 3 Hours,"","Slept for 11 hours | talkative on car ride | Aunt Jones family thanksgiving | Brooke and Matt having a baby | now I know for sure I want to have a kid, weight = 130"
2021-11-24,Nov 24,Wednesday,7:42 PM,okay,family | movie | reading | tv show | home | college | prayer | mountain dew | Sleep 5- Hours | Screen Time 8 Hours,"","Woke up early to go to airport | saw Shae at airport didn’t say hi | airplane made me sad because it brought back memories the last time I was on a plane | 21 jump street | mission burrito | outlet shopping with Mom and Katie | Mom spoiling me | new headphones came | watched Hawkeye | house brings back painful memories feel sad "
2021-11-23,Nov 23,Tuesday,8:48 PM,okay,friends | movie | gaming | school | tv show | college | biking | chest / core | gym | prayer | Sleep 9 Hours | Screen Time <= 2 hours,"","Problems with technology in watching movie in Martyrs class | stressed about getting into Linear Algebra class | good time a library with Sophie | Ian’s pizza lunch with Sophie Sebastian Gabriella and Tess | movie with Gabriella and Tess | helped Gab and Tess move out | annex by myself | sad about Sophie tonight "
2021-11-22,Nov 22,Monday,8:53 PM,Solid,friends | school | college | chest / core | gym | prayer | Spiritual Direction | Confession | Sleep 7 Hours | Screen Time <= 2 hours,"","Did a lot better than I thought on Math Test | said goodbye to Sara | good mood in morning | counseling told women I was good | lunch with Gabriella | called Tess in stats class to ask where Squirrels sleep | got snacks for Father Duns theosgiving | brought good news to Steve for spiritual direction | confession | Theosgiving with Sebastian Sophie and others "
2021-11-21,Nov 21,Sunday,9:06 PM,okay,friends | college | Watched Sports | church | prayer | mountain dew | Sleep 7 Hours | Screen Time 4 Hours,"","Prayer rosary with Sara on the way to mass | sat next to her and got to hold her hand in our father | ham croissant really good | watched a lot of football | Baja blast can | podcast with Sebastian | listened to a lot of Taylor Swift | Sunday night dinner "
